text	label
慢性肠胃炎，反复发作，有时候会拉肚子与便秘交替。请问用什么药好一些	病症治疗方法
你好，我家女儿4岁半了，老是容易咳嗽，一咳嗽就炎症高，炎症高了就容易呕吐，该怎么办呢？	病症临床表现(病症表现)
我有一个同学，性生活是比较混乱，前段时间被检查患有尖锐湿疣，目前得了尖锐湿疣怎样治疗效果才好？如何才能避免复发？想得到什么帮助：如何医治	病症临床表现(病症表现)
我同事左股骨坏死，想买几个疗程健骨生丸，请问健骨生丸多少钱一盒？可以上网买吗？	药物价钱
血管瘤会影响食欲吗？总是出现恶心，呕吐的情况，跟血管瘤有关系吗？,内蒙古婴儿在腋下长的血管瘤危害大不大？	病症严重性
宝宝咳嗽怎么办？	病症治疗方法
有没有新一代龙牡壮骨颗粒？	药物作用
便秘，老想上厕所，大便费力，腹部不适，疼还不严重，是得了直肠炎吗？直肠炎的表现有什么？	其他多问
甘露醇是什么	药物成分
排便时肛门有异物感，坐久后肝门刺痛，吃了辛辣东西排便时像火烧，是痔疮，用盐水清洗有效吗？	病症治疗方法
感冒软胶囊可以和复方板蓝根颗粒一起服用吗？	其他无法确定
内痔疮不治疗对人体的危害大吗？	病症严重性
医生您好，这是我家刚请的带孩子阿姨的体检报告，是不是肝炎？有没有传染性？是否能继续带孩子？她上个月在工厂上了半个月夜班，是否有影响？谢谢医生	其他多问
最近两天睡眠质量太差，基本整晚都睡不着觉，怎么办好呢？会影响胎儿吗？	其他多问
前几天我父亲因为急性心肌梗塞住院了。但是送医院有点晚了情况不是太好。我想咨询一下急性心肌梗塞抢救原则是什么？	病症治疗方法
高血压血管热导致手部骚痒	病症治疗方法
有没睡不着的妈妈啊，怀孕晚期严重失眠该怎么办好啊有什么好的办法可以改善这种情况啊？	病症治疗方法
肺心病慢性肺阻塞性肺气肿，心衰、心藏二尖辨中倒流，三尖辨轻度倒流。	其他无法确定
胸闷气短痰多易感冒，呼吸困难	病症临床表现(病症表现)
