text	label
 (三)、下肢骨科疾病限制其行走能力者	Disease
 （10）过敏体质或对试验药物已知成分过敏者；	Allergy Intolerance
 6.污染的样本。	Receptor Status
 患者或家属不同意加入研究者。	Consent
 12. 正在进行其它药物临床试验的患者；	Enrollment in other studies
 5）未进行血液透析或腹膜透析治疗；	Therapy or Surgery
1. 生命体征不稳定；	Sign
 a)肿瘤≥5cm或肿瘤累及/位于肝中叶或肿瘤临近（＜1cm）/累及大血管；	Disease
 6)分组前 4 周内未使用 PDE5-i 治疗者；	Therapy or Surgery
 2.怀疑患有神经系统进行性疾病的患儿	Disease
 (5)入组前2周内CT至少有一个影像学可测量目标病灶；	Diagnostic
根据患者病史，并结合超声辅助诊断子宫肌瘤患者	Diagnostic
 3.血压：血压明显增高，收缩压&gt;185mmHg或舒张压&gt;110mmHg,经药物控制仍无法降至上述标准之内者	Laboratory Examinations
 2.既往至少接受过2种系统化疗后进展或复发的晚期胃腺癌或胃-食管结合部腺癌患者；	Disease
 5、年龄20—70岁，有一定的阅读能力，知情同意且自愿参与调查研究的患者。	Multiple
1. 年龄60-78岁	Age
 ⑤ECOG评分：0～2；	Risk Assessment
 3. 入选时基线视力：（ETDRS记分）患眼最佳矫正视力31个字母≤BCVA≤80个字母；对侧眼最佳矫正视力≥31个字母；	Multiple
1）目前合并有影响脊髓损伤恢复或康复训练疾病者（如：脑损伤、脑出血、认知障碍、其它中枢神经疾病等）；	Multiple
 c.血清肌酐≤1.5?ULN，内生肌酐清除率＞60ml/min（Cockcroft-Gault公式）	Laboratory Examinations
1. Ⅰ、Ⅱ度退变性或峡部裂性腰椎滑脱 ；	Disease
 3. 血压：高压高于180或者低压高于120mmHg者；	Laboratory Examinations
 (2)外周血白细胞计数＞12*109/L，分类以中性粒细胞为主	Laboratory Examinations
 7、假性高血压；	Disease
（1）严重的腹部皮肤感染及创伤的患者	Disease
 3) 患者病情处于稳定期：四周内无病情变化和治疗方案改变；	Non-Neoplasm Disease Stage
1. 被确诊为Prader-Willi综合征（PWS）	Disease
 ④ ECOG评分为0-3；	Risk Assessment
 （2）中心性肥胖患者：男性腰围≥90cm或女性腰围≥85cm	Multiple
 4.患者对妊娠有明确影响的疾病的患者;	Multiple
1.患者年龄12-24岁；	Age
 ② 年龄≧40岁；	Age
 ④呼气试验前24 h严重被动吸烟或其它身处CO严重污染环境者；	Multiple
 2. 无明显感染症状和体征，或实验室检查无感染证据	Multiple
 14. 研究者认为不适合参加该项临床研究的任何情况。	Researcher Decision
ADHD组：重庆医科大学附属儿童医院等 8 家参与医院儿童保健科筛选合格者	Diagnostic
 （2）符合原发性高血压诊断标准；	Diagnostic
 (6)有完善的临床观察、影像学检查、实验室检查的记录；	Data Accessible
 2)预计手术时间在4~8 h的全身麻醉行Chevron切口的上腹部手术患者；	Therapy or Surgery
 2、患者服用导致牙龈增生的药物。	Pharmaceutical Substance or Drug
 3.参加本次临床试验前3个月内曾经献血，或计划在试验期间或试验结束后3个月内献血者，或试验前4周内曾输血者。	Multiple
 6. 预计生存期≥12周；	Life Expectancy
 14)研究者判断该受试者不能完成本研究，或认为该受试者参与本研究可能会造成伤害的其他情况。	Researcher Decision
1)出现肿瘤除肝脏外其他远处转移者；	Disease
 a)同时使用激素治疗非肿瘤相关疾病(例如激素替代疗法)是可以接受的；	Pharmaceutical Substance or Drug
 7.能够遵守治疗和随访计划.	Compliance with Protocol
 ②既往有药物过敏史者	Allergy Intolerance
入选标准（脓毒症组）:	Disease
 (2)尿白蛋白肌酐比值（UACR）＞300mg/g（清晨首次晨尿）；	Laboratory Examinations
 3)疾病进展可能导致脏器功能衰竭甚至死亡；	Disease
 2）汉密尔顿抑郁量表（hamilton rating scale for depression, HAMD）17项评分≥18分；中文版心境障碍问卷（Mood Disorder Questionnaire, MDQ）＜7分排除双相抑郁；	Risk Assessment
 （2）年龄在18岁到65岁之间（18岁≤年龄≤65岁）；	Age
 3. 已知对丙泊酚、瑞芬太尼中任何成分过敏的患者；	Allergy Intolerance
 电解质紊乱	Sign
 （3）正接受放疗或化疗的恶性肿瘤病人；	Therapy or Surgery
 3. 血液学复发	Disease
 5. 明确诊断为恶性肿瘤患者；	Disease
 10.有其它慢性疾病需要长期糖皮质激素治疗者	Multiple
 ●有出血倾向者或3个月内发生过严重出血者；	Sign
 血常规检查白细胞计数大于10×109/L。	Laboratory Examinations
 5)1个月内未服用钾通道开放剂类药物。	Pharmaceutical Substance or Drug
 5) 自愿受试并签署知情同意书。	Consent
 2）由精神科医生评价为药物抵抗型抑郁	Disease
 - Previous SLT or ALT;	Laboratory Examinations
 （5）妊娠或哺乳期妇女，或准备妊娠妇女；	Pregnancy-related Activity
 4)患者经多学科评估不适宜手术治疗，同意初始接受CT引导下的经胸壁MWA或SBRT治疗；	Consent
1.晚期泡型肝包虫病患者（侵犯第一、第二、第三肝门）；	Disease
 4、中枢神经系统疾病、精神疾病、不稳定型心绞痛、充血性心衰、严重心律失常及其它无法控制的严重疾病	Disease
 （2）严重心力衰竭（心功能IV级，或左室射血分数≤30%）；	Multiple
 ① PD患者诊断标准符合英国脑库的诊断标准；	Diagnostic
（1）年龄14-65岁的住院或门诊患者，性别不限；	Multiple
 6. 电解质紊乱；	Sign
 （3）哮喘或气道高反应的患者、神经肌肉系统性疾病患者或恶病质	Disease
1)年龄≥18岁，性别不限；	Multiple
 4.有消化系统器质性病变(如慢性胰腺炎、胆囊炎、胆石症等)，或有影响消化道动力的全身疾病(例如：糖尿病、慢性肾功能不全、结缔组织病、精神和神经系统病变等)。	Disease
 2. 研究开始前3-4周内行胃肠道肿瘤根治术，且预期寿命大于6个月；	Multiple
 甲状腺癌患者的排除标准：存在远处转移；无法耐受手术；既往接受放射治疗或者I 131治疗。	Multiple
 2)初次行单侧全膝关节或者全髋关节置换、围术期静脉或局部应用氨甲环酸；	Therapy or Surgery
 h)患有可能干扰胃肠蠕动、PH或研究药物吸收的胃肠道疾病或疾病史（或术后状态）；	Disease
1) 20 岁≤年龄≤40岁；	Age
 4.年龄为18-75岁之间，男、女不限；	Multiple
 e)已知或怀疑对细胞制剂过敏者，或有特异性反应史者；	Allergy Intolerance
 -BP ≥130 mmHg/≥85 mmHg;	Laboratory Examinations
 5）双眼远视力至少能矫正到0.8以上	Laboratory Examinations
 6.平均动脉压会严重影响失血量(术中需要控制性降压)。	Therapy or Surgery
 （7）预计生存期≥6个月。	Life Expectancy
年龄18~70岁；	Age
 ②中风史、精神病、癫痫、帕金森病史、MMSE＜24；	Disease
①病理为鳞癌；	Diagnostic
 4. 腹腔动脉或肠系膜上动脉无受侵及包裹；	Sign
 2.年龄18-80岁，预期寿命大于2年，ECOG评分0-2(见附录1).	Multiple
 3.急性ST段抬高型心肌梗死或急性非ST抬高型心肌梗死。	Disease
1、年龄 18-80 岁，可以耐受消化内镜检查；	Multiple
 9处于严重的难以控制的局部或全身急、慢性感染期间；或既往有活动性结核病史或正在接受治疗的结核病患者。	Disease
 （4）妊娠、哺乳期等特殊患者。	Pregnancy-related Activity
 3.ECOG评分≤2分;	Risk Assessment
 ③被诊断为MGD	Disease
 明白试验目的并能接受随机分组方案者.	Compliance with Protocol
 11)入组前30天内参与其他的临床研究。	Enrollment in other studies
 5、术前有相关精神疾病患者，例如：痴呆等；	Disease
 13)不能保证从服药前48小时到最后一次采样前禁烟并禁服西柚汁或任何含酒精和黄嘌呤的食品和饮料（包括巧克力、茶、咖啡、可乐等）；	Diet
 (4)患有精神性疾病者	Disease
 3.正在使用干扰溴吡斯的明疗效的药物	Pharmaceutical Substance or Drug
 2. Steinberg分期为I~II期；	Non-Neoplasm Disease Stage
